Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,
18.12.2021,43,2316,2360,44,55,0,27550,
19.12.2021,41,2083,2100,17,51,1.2,29650,
20.12.2021,43,2894,3030,136,70,11.2,32680,
21.12.2021,43,3832,3910,78,91,8.8,36590,
22.12.2021,45,3931,3980,49,88,3.6,40570,
23.12.2021,43,2523,2635,117,61,0,43205,
24.12.2021,39,1416,1480,64,38,0,44685,
25.12.2021,-,-,-,-,-,-,-,
26.12.2021,-,-,-,-,-,7.8,-,
27.12.2021,45,2235,2290,55,51,0,46975,
28.12.2021,48,3349,3465,116,72,0,50440,
29.12.2021,48,4825,4940,115,103,0,55380,
30.12.2021,48,2670,2740,70,57,0,58120,
31.12.2021,46,3677,2755,78,60,0,60875,
TOTAL,1171,59538,60875,1337,52,54.2,711610,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,
1/3/2021,40,1599,1705,106,42,0,1705,
2/3/2021,40,1172,1370,198,34,0,3075,
3/3/2021,41,1760,1920,160,47,0,4995,
4/3/2021,44,2781,2840,59,44,0,7835,
5/3/2021,42,1325,14790,145,35,0,9305,
6/3/2021,43,2293,2430,137,57,0,11735,
7/3/2021,0,0,0,0,0,0,0,
8/3/2021,41,1749,1830,81,45,0,13565,
9/3/2021,43,1433,1600,167,37,0,15165,
10/3/2021,40,1421,1539,109,38,0,16695,
11/3/2021,41,1418,1540,122,38,0,18235,
12/3/2021,39,1289,1350,61,35,0,19585,
13/3/2021,37,801,860,59,24,0,20445,
14/3/2021,0,0,0,0,0,0,0,
15/3/2021,41,1353,1470,117,36,3.4,21915,
16/3/2021,40,1290,1460,170,36,0,23375,
17/3/2021,45,1964,2160,196,48,0,25535,
18/3/2021,41,1918,2110,192,51,0,27645,
19/3/2021,42,1859,1990,131,47,0,29635,
20/3/2021,41,1392,1510,118,37,19.7,31145,
21/3/2021,0,0,0,0,0,0,0,
22/3/2021,40,1470,1530,60,38,0,32675,
23/3/2021,42,2062,2210,158,53,0,34885,
24/3/2021,46,1747,1880,133,41,0,36765,
25/3/2021,43,1867,1970,103,46,0,38735,
26/3/2021,42,1591,1720,129,41,0,40455,
27/3/2021,39,949,1000,51,26,0,41455,
28/3/2021,0,0,0,0,0,0,0,
29/3/2021,39,1479,1590,111,41,0,43045,
30/3/2021,37,1567,1620,53,44,0,44665,
31/3/2021,40,2512,3600,88,65,5.6,47265,
TOTAL,1109,44061,47265,3204,42,28.7,47265,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,
1/4/2021,40,2213,2330,117,58,0,2330,
2/4/2021,41,1426,1515,89,37,0,3845,
3/4/2021,39,1331,1390,59,36,0,5235,
4/4/2021,0,0,0,0,0,11,0,
5/4/2021,0,0,0,0,0,18,0,
6/4/2021,45,2037,2140,103,48,12.4,7375,
7/4/2021,45,1895,2030,135,45,10.2,9405,
8/4/2021,45,1664,1690,26,37,10.4,11095,
9/4/2021,42,2046,2200,154,52,4.4,13295,
10/4/2021,42,1498,1630,132,39,12.5,14925,
11/4/2021,0,0,0,0,0,3,0,
12/4/2021,40,2282,2490,208,62,0,17415,
13/4/2021,44,2181,2365,184,54,0,19780,
14/4/2021,43,2042,2250,208,52,31.4,22030,
15/4/2021,43,1313,1470,157,34,4,23500,
16/4/2021,40,1197,1320,123,33,0,24820,
17/4/2021,41,1491,1640,149,41,0,26460,
18/4/2021,0,0,0,0,0,0,0,
19/4/2021,39,1865,1930,65,49,4.9,28390,
20/4/2021,41,1809,1950,141,48,0,30340,
21/4/2021,42,1660,1760,100,42,22.8,32100,
22/4/2021,43,1916,2060,144,48,30,34160,
23/4/2021,44,1805,1910,105,42,1,36070,
24/4/2021,45,1807,1975,1680,44,2,38045,
25/4/2021,0,0,0,0,0,0,0,
26/4/2021,47,2074,2240,166,48,0,40285,
27/4/2021,46,1391,1450,59,32,3,41735,
28/4/2021,46,2290,2475,185,54,0,44210,
29/4/2021,46,1985,2230,245,48,0,46440,
30/4/2021,42,1245,1350,105,32,0,47790,
,1071,44463,47790,3327,45,181,47790,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,
1/10/2021,49,2057,2090,39,43,2.4,2090,
2/10/2021,49,2993,3050,57,62,0,5140,
3/10/2021,0,0,0,0,0,0,0,
4/10/2021,49,3737,3930,93,80,6.2,9070,
5/10/2021,47,2977,3040,63,65,0,12110,
6/10/2021,48,2923,3020,97,63,0,15130,
7/10/2021,45,2601,2660,59,59,0,17790,
8/10/2021,50,3265,3245,20,65,0,21035,
9/10/2021,50,2655,2730,75,55,0,23765,
10/10/2021,0,0,0,0,0,0,0,
11/10/2021,0,0,0,0,0,0,0,
12/10/2021,42,1827,1920,93,46,0,25685,
13/10/2021,47,2714,2770,56,59,0,28455,
14/10/2021,45,1941,1980,39,44,0,30435,
15/10/2021,46,2013,2030,17,44,0,32465,
16/10/2021,45,2263,2280,17,51,0,34745,
17/10/2021,36,1536,1555,19,43,0,36300,
18/10/2021,48,2013,2035,22,42,6.4,38335,
19/10/2021,45,1873,1900,27,42,8.9,40235,
20/10/2021,0,0,0,0,0,1.8,0,
21/10/2021,42,1903,1890,13,45,0,42125,
22/10/2021,39,1589,1600,11,41,0,43725,
23/10/2021,47,1592,1660,68,35,0,45385,
24/10/2021,0,0,0,0,0,0,0,
25/10/2021,42,2016,2110,94,50,0,47495,
26/10/2021,45,1897,1980,83,44,1.6,49475,
27/10/2021,44,1935,2000,65,45,0,51475,
28/10/2021,44,1844,1940,96,44,0,53415,
29/10/2021,39,1464,1470,6,38,0,54885,
30/10/2021,44,2471,2540,69,57,0,57425,
TOTAL,1127,56140,57425,1285,51,27.3,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,
1.11.2021,39,1725,1730,5,44,0,1730,
2.11.2021,37,1331,1380,49,37,0,3110,
3.11.2021,30,1054,1040,-14,35,0,4150,
4.11.2021,25,1018,1050,32,42,0,5200,
5.11.2021,24,480,495,15,21,0,5695,
6.11.2021,24,799,790,-9,32,0,6485,
7.11.2021,-,-,-,-,-,0,-,
8.11.2021,29,1170,1175,5,40,0,7660,
9.11.2021,30,1398,1430,32,48,8.6,9090,
10.11.2021,27,1178,1190,12,44,1.4,10280,
11.11.2021,33,1508,1510,2,46,0,11790,
12.11.2021,27,2186,2210,24,60,1.6,14000,
13.11.2021,32,1588,1615,27,50,0,15615,
14.11.2021,-,-,-,-,-,0,-,
15.11.2021,30,1319,1320,1,44,11.6,16935,
16.11.2021,31,1125,1130,5,36,0,18065,
17.11.2021,34,1139,1180,41,35,0,19245,
18.11.2021,35,1032,1070,38,31,0,20315,
19.11.2021,41,1252,1310,58,32,0,21625,
20.11.2021,38,1187,1210,23,32,0,22855,
21.11.2021,-,-,-,-,-,1,-,
22.11.2021,38,931,980,49,26,0,23815,
23.11.2021,40,1863,1860,-3,47,0,25675,
24.11.2021,42,1239,1285,46,31,0,26960,
25.11.2021,42,1200,1230,30,29,0,28100,
26.11.2021,42,1336,1360,24,32,14,29550,
27.11.2021,40,998,1020,22,26,31,30570,
28.11.2021,-,-,-,-,-,3,-,
29.11.2021,42,952,950,-2,23,6,31520,
30.11.2021,41,965,960,-5,23,0,32480,
TOTAL,903,31973,32480,507,36,78,17700,
